Rank_In_Year	Released	Release_Year	Title	TheatricalDistributor	Genre	Full_Genre	ProductionMethod	CreativeType	MaximumTheaters	ProductionBudgetM	OpeningWkendRevenueM	DomBoxOfficeM	InflAdjDomBoxOfficeM	InternationalBoxOfficeM	WorldwideBoxOfficeM	MPAA_Rating	Runtime_h	IMDB_Rating	RottenTomatoes_Rating
12	2/14/20	2020	Fantasy Island	Sony Pictures	Horror	Horror	Live Action	Contemporary Fiction	2784	7	12.31	26.44	32.58	22.62	49.07	PG-13	1.817	4.9	9
13	8/28/20	2020	The New Mutants	20th Century Studios	Horror	Horror	Live Action	Super Hero	2754	67	7.04	23.86	29.39	23.68	47.54	PG-13	1.567	5.3	36
14	1/10/20	2020	Like a Boss	Paramount Pictures	Comedy	Comedy	Live Action	Contemporary Fiction	3081	29	10.01	22.17	27.31	4.39	26.56	R	1.383	4.7	
15	10/9/20	2020	The War with Grandpa	101 Studios	Comedy	Comedy	Live Action	Kids Fiction	2365	38	3.62	21.28	25.91	25.54	46.82	PG	1.567	5.7	29
16	1/3/20	2020	The Grudge	Sony Pictures	Horror	Horror	Live Action	Contemporary Fiction	2642	10	11.4	21.22	40.22	28.29	49.5				20
17	8/14/20	2020	Unhinged		Thriller/Suspense	Thriller/Suspense	Live Action	Contemporary Fiction	2402	33	0.6	20.83	25.66	16.51	37.34	R	1.5	6	49
18	2/14/20	2020	The Photograph	Universal	Drama	Drama	Live Action	Contemporary Fiction	2516	15	12.18	20.58	25.35	0.13	20.7	PG-13	1.767	6.1	74
19	1/10/20	2020	Underwater	20th Century Fox	Thriller/Suspense	Thriller/Suspense	Live Action	Science Fiction	2791	65	7.01	17.29	21.3	21.89	39.18	PG-13	1.583	5.9	48
20	7/3/20	2020	Hamilton	Walt Disney	Other	Musical	Live Action	Historical Fiction	1850	0	0	16.95	16.95	3.91	20.86	PG-13	2.667	8.3	98
21	1/24/20	2020	The Turning	Universal	Horror	Horror	Live Action	Contemporary Fiction	2571	12	6.95	15.47	19.06	2.99	18.46	PG-13	1.567	3.9	12
22	1/31/20	2020	Gretel & Hansel	United Artists	Horror	Horror	Live Action	Historical Fiction	3007	5	6.15	15.35	18.91	6.7	22.05	PG-13	1.45	5.5	63
23	12/18/20	2020	Monster Hunter	Sony Pictures	Action	Action	Live Action	Science Fiction	1817	60	2.2	15.16	17.46	32.69	47.85	PG-13	1.717	5.2	
24	12/31/20	2020	Stillwater	Focus Features	Drama	Drama	Live Action	Contemporary Fiction	2611	0	0	14.47	16.09	2.78	17.24	TV-Y7	0.017	8.3	
25	10/9/20	2020	Honest Thief		Thriller/Suspense	Thriller/Suspense	Live Action	Contemporary Fiction	2502	30	0	14.16	17.45	18.45	32.61	PG-13	1.65	6	41
26	3/6/20	2020	The Way Back	Warner Bros.	Drama	Drama	Live Action	Contemporary Fiction	2718	23	8.17	13.59	16.74	1.9	15.49	R	1.8	6.7	85
27	2/26/20	2020	Boku no Hero Academia: Heroes: Rising	FUNimation	Adventure	Adventure	Digital Animation	Super Hero	1275	0	5.89	13.55	16.7	16.46	30.02				
28	12/25/20	2020	News of the World	Universal	Other	Western	Live Action	Historical Fiction	1986	38	2.25	12.67	14.53	0	12.67	PG-13	1.967	6.8	88
29	2/21/20	2020	Brahms: The Boy II	STX Entertainment	Horror	Horror	Live Action	Contemporary Fiction	2151	10	5.82	12.61	15.54	6.36	18.97	PG-13	1.433	4.7	11
30	10/30/20	2020	Come Play	Focus Features	Horror	Horror	Live Action	Contemporary Fiction	2213	9	3.12	10.48	12.79	2.15	12.62	PG-13	1.6	5.8	57
31	2/21/20	2020	Impractical Jokers: The Movie	truTV	Comedy	Comedy	Live Action	Contemporary Fiction	1900	3	2.61	10.47	12.89	0	10.47	PG-13	1.533	5.7	36
32	3/13/20	2020	I Still Believe	Lionsgate	Drama	Drama	Live Action	Dramatization	3250	12	9.1	10.41	12.83	6.29	16.7	PG	1.933	6.5	50
33	2/21/20	2020	Emma.	Focus Features	Drama	Drama	Live Action	Historical Fiction	1732	10	0.23	10.06	12.39	17.31	27.37	PG	2.067	6.7	86
34	3/13/20	2020	Bloodshot	Sony Pictures	Action	Action	Live Action	Super Hero	2861	45	9.18	10.02	12.35	27.14	37.16	PG-13	1.817	5.7	32
35	11/6/20	2020	Let Him Go	Focus Features	Thriller/Suspense	Thriller/Suspense	Live Action	Contemporary Fiction	2458	0	4	9.36	11.53	2.14	11.49	R	1.883	6.7	85
36	11/13/20	2020	Freaky	Universal	Horror	Horror	Live Action	Contemporary Fiction	2472	6	3.6	9.03	11.09	9.04	18.07	R	1.7	6.3	84
37	2/14/20	2020	Downhill	Searchlight Pictures	Drama	Drama	Live Action	Contemporary Fiction	2311	0	4.62	8.29	10.21	0.87	9.16	R	1.433	4.9	36
38	1/15/20	2020	Weathering with You	GKIDS	Drama	Drama	Digital Animation	Science Fiction	1020	0	1.81	8.06	9.9	188.56	196.62				
39	12/25/20	2020	Promising Young Woman	Focus Features	Comedy	Black Comedy	Live Action	Contemporary Fiction	1448	0	0.72	6.46	7.33	12.39	18.85	R	1.883	7.5	90
40	12/18/20	2020	Fatale	Lionsgate	Thriller/Suspense	Thriller/Suspense	Live Action	Contemporary Fiction	1222	0	0.92	6.31	6.52	0.52	6.82	R	1.7	5.5	46
41	3/13/20	2020	The Hunt	Universal	Thriller/Suspense	Thriller/Suspense	Live Action	Contemporary Fiction	3028	18.2	5.3	5.81	7.16	6.59	12.4	R	1.5	6.6	57
42	1/31/20	2020	The Rhythm Section	Paramount Pictures	Thriller/Suspense	Thriller/Suspense	Live Action	Contemporary Fiction	3049	50	2.72	5.44	6.7	0.55	5.98	R	1.817	5.4	28
43	8/14/20	2020	The SpongeBob Movie: Sponge on the Run	Paramount Pictures	Adventure	Adventure	Digital Animation	Kids Fiction	326	60	0.87	4.81	5.93	0	4.81	PG	1.517	5.9	66
44	9/11/20	2020	The Broken Hearts Gallery	Sony Pictures	Comedy	Romantic Comedy	Live Action	Contemporary Fiction	2221	0	1.13	4.07	5.01	0.77	4.84	PG-13	1.817	6.3	80
45	9/18/20	2020	Infidel	Cloudburst Entertainment	Thriller/Suspense	Thriller/Suspense	Live Action	Contemporary Fiction	1885	0	1.38	4.05	4.99	0	4.05				
46	2/14/20	2020	Portrait of a Lady on Fire	Neon	Drama	Drama	Live Action	Historical Fiction	334	5.4	0.43	3.76	4.63	8	11.76				
47	8/28/20	2020	Bill & Ted Face the Music	United Artists	Comedy	Comedy	Live Action	Science Fiction	1007	25	1.13	3.44	4.24	2.82	6.26	PG-13	1.517	5.9	83
48	1/29/20	2020	2020 Oscar Shorts	ShortsHD	Other	Multiple Genres	Multiple Production Methods	Multiple Creative Types	536	0	1.16	3.3	4.07	0	3.3				
49	10/23/20	2020	The Empty Man	20th Century Studios	Horror	Horror	Live Action	Contemporary Fiction	2051	0	1.31	3	3.69	0.97	3.97	R	2.283	6.2	73
50	2/21/20	2020	Las Pildoras De Mi Novio	Lionsgate	Comedy	Romantic Comedy	Live Action	Contemporary Fiction	350	0	1.4	2.97	3.66	3.31	6.28				
51	12/11/20	2020	Minari	A24	Drama	Drama	Live Action	Historical Fiction	912	2	0	2.96	3.3	12.51	15.47	PG-13	1.917	7.4	98
52	1/24/20	2020	The Last Full Measure	Roadside Attractions	Drama	Drama	Live Action	Dramatization	617	20	1.06	2.95	3.63	0.37	3.32				
53	8/21/20	2020	Words on Bathroom Walls	Roadside Attractions	Drama	Drama	Live Action	Contemporary Fiction	1395	9.3	0.43	2.54	3.13	0.64	3.18	PG-13	1.833	7.2	89
54	9/11/20	2020	After We Collided		Drama	Drama	Live Action	Contemporary Fiction	546	0	0	2.39	2.94	40.92	43.31	R	1.75	5.1	13
55	12/4/20	2020	Half Brothers	Focus Features	Comedy	Comedy	Live Action	Contemporary Fiction	1386	0	0.7	2.24	2.74	1.03	3.28	PG-13	1.6	6.1	38
56	5/15/20	2020	Scoob!	Warner Bros.	Adventure	Adventure	Digital Animation	Kids Fiction	2500	90	0	2.19	2.43	26.56	28.75	PG	1.55	5.6	48
57	2/7/20	2020	The Lodge	Neon	Horror	Horror	Live Action	Contemporary Fiction	395	0	0.08	2.14	2.64	1.07	3.21		0.083		
58	8/28/20	2020	The Personal History of David Copperfield	Searchlight Pictures	Drama	Drama	Live Action	Historical Fiction	1550	15.6	0.48	1.88	2.31	12.75	14.63				
59	12/25/20	2020	Pinocchio	Roadside Attractions	Adventure	Adventure	Animation/Live Action	Kids Fiction	824	13.2	0.27	1.83	2.1	28.53	30.36		0.5		
60	5/1/20	2020	The Wretched	IFC Midnight	Horror	Horror	Live Action	Contemporary Fiction	101	0.07	0.07	1.82	2.24	2.78	4.59		1.583		
61	7/24/20	2020	The Rental	IFC Films	Thriller/Suspense	Thriller/Suspense	Live Action	Contemporary Fiction	250	0	0.4	1.64	2.02	2.34	3.98	R	1.467	5.7	73
62	10/16/20	2020	2 Hearts	Freestyle Releasing	Drama	Drama	Live Action	Dramatization	1683	0	0.52	1.35	1.66	0	1.35	PG-13	1.683	6.3	17
63	8/7/20	2020	Peninsula		Horror	Horror	Live Action	Science Fiction	151	16	0.12	1.22	1.51	33.87	35.09	Not Rated	1.933	5.5	55
64	2/29/20	2020	Met Opera Agrippina	Fathom Events	Other	Concert/Performance	Live Action	Historical Fiction	1000	0	1.15	1.15	1.42	0.3	1.45				
65	11/6/20	2020	True to the Game 2: Gena's Story	Faith Media Distribution	Thriller/Suspense	Thriller/Suspense	Live Action	Contemporary Fiction	281	0	0.29	1.12	1.38	0	1.12				
66	1/31/20	2020	The Assistant	Bleecker Street	Drama	Drama	Live Action	Contemporary Fiction	167	1.78	0.08	1.1	1.36	0.6	1.7		1.4	5.4	
67	10/16/20	2020	Love and Monsters	Paramount Pictures	Adventure	Adventure	Live Action	Science Fiction	387	30	0.27	1.07	1.32	0.06	1.13	PG-13	1.817	6.9	94
68	7/3/20	2020	Relic	IFC Midnight	Thriller/Suspense	Thriller/Suspense	Live Action	Contemporary Fiction	133	0	0.19	1.05	1.29	2.19	3.24	R	1.483	6	92
69	8/7/20	2020	The Tax Collector	RLJ Entertainment	Action	Action	Live Action	Contemporary Fiction	138	30	0.31	1.04	1.29	0.27	1.31	Not Rated	1.583	4.9	17
70	6/5/20	2020	Becky	Quiver	Thriller/Suspense	Thriller/Suspense	Live Action	Contemporary Fiction	50	0	0.21	1	1.24	0.06	1.06	R	1.55	6.1	72
71	9/24/20	2020	Break the Silence: The Movie	Trafalgar Releasing	Other	Documentary	Live Action	Factual	515	0	1	1	1.23	9.67	10.67	TV-14	1.483	8.3	
72	11/20/20	2020	Soul	Walt Disney	Adventure	Adventure	Digital Animation	Kids Fiction	1350	200	0	0.95	0.95	119.12	120.07	PG	1.667	8	95
73	12/4/20	2020	All My Life	Universal	Drama	Drama	Live Action	Dramatization	970	25	0.37	0.91	1.12	1.11	2.02	PG-13	1.517	6.3	59
74	1/11/20	2020	Met Opera: Wozzeck	Fathom Events	Other	Concert/Performance	Live Action	Historical Fiction	1000	0	0.86	0.86	1.06	0.17	1.03				
75	7/31/20	2020	Cut Throat City	Well Go USA	Drama	Drama	Live Action	Historical Fiction	389	8	0	0.86	1.05	0.01	0.86	R	2.05	4.9	72
76	1/10/20	2020	Sarileru Neekevvaru	Great India Films	Action	Action	Live Action	Contemporary Fiction	300	0	0.82	0.82	1.01	0.36	1.18	Not Rated	2.817	5.8	
77	11/20/20	2020	Ji Xian Feng	Gravitas Ventures	Action	Action	Live Action	Contemporary Fiction	1375	0	0.38	0.79	0.98	45.19	45.99				
78	1/24/20	2020	Color Out of Space	RLJ Entertainment	Horror	Horror	Live Action	Science Fiction	81	0	0.22	0.77	0.94	0.3	1.07				
79	9/25/20	2020	Shortcut	Gravitas Ventures	Horror	Horror	Live Action	Science Fiction	725	0	0.28	0.76	0.93	0.01	0.77	R	1.333	4.1	60
80	10/2/20	2020	Possessor	Neon	Thriller/Suspense	Thriller/Suspense	Live Action	Science Fiction	320	0	0.25	0.75	0.93	0.16	0.91	R	1.717	6.5	
81	3/6/20	2020	Baaghi 3	FIP	Action	Action	Live Action	Contemporary Fiction	265	0	0.51	0.72	0.89	0.56	1.29	Not Rated	2.383	2.3	0
82	11/20/20	2020	The Last Vermeer	Sony Pictures Classics	Drama	Drama	Live Action	Dramatization	912	0	0.23	0.69	0.84	0.2	0.88				
83	9/25/20	2020	The Last Shift	Sony Pictures	Comedy	Comedy	Live Action	Contemporary Fiction	886	0	0.25	0.64	0.79	0	0.64	R	1.5	5.8	66
84	10/23/20	2020	Synchronic	Well Go USA	Thriller/Suspense	Thriller/Suspense	Live Action	Science Fiction	327	0	0.25	0.64	0.78	0.88	1.52				
85	1/10/20	2020	Chhapaak	FIP	Drama	Drama	Live Action	Dramatization	100	0	0.32	0.6	0.74	0.32	0.92	Not Rated	2	5.4	89
86	1/24/20	2020	Panga	FIP	Drama	Drama	Live Action	Contemporary Fiction	102	0	0.29	0.58	0.72	0.14	0.73	Not Rated	2.183	6.8	94
87	9/18/20	2020	Alone	Magnolia Pictures	Thriller/Suspense	Thriller/Suspense	Live Action	Contemporary Fiction	174	0	0.18	0.54	0.66	0.06	0.6	R	1.633	6.2	27
88	6/19/20	2020	Followed	Global View Entertainment	Horror	Horror	Live Action	Contemporary Fiction	100	0	0.15	0.54	0.66	0.01	0.55				
89	9/25/20	2020	Kajillionaire	Focus Features	Drama	Drama	Live Action	Contemporary Fiction	547	0	0.22	0.53	0.65	1.08	1.62	R	1.733	6.4	90
90	10/2/20	2020	The Call	Atlas Distribution	Horror	Horror	Live Action	Contemporary Fiction	195	0	0.14	0.52	0.64	0.95	1.46	TV-MA	1.867	7.1	46
91	7/24/20	2020	The Big Ugly	Vertical Entertainment	Action	Action	Live Action	Contemporary Fiction	68	0	0.15	0.51	0.63	0	0.52	R	1.767	5.1	40
92	11/20/20	2020	The Forgotten Carols	Purdie Distribution	Other	Musical	Live Action	Contemporary Fiction	70	0	0.1	0.5	0.62	0	0.5		2.167	8.4	
93	10/30/20	2020	Spell	Paramount Pictures	Horror	Horror	Live Action	Contemporary Fiction	369	0	0.21	0.5	0.62	0	0.5	R	1.517	5.5	50
94	9/25/20	2020	Ava	Vertical Entertainment	Action	Action	Live Action	Contemporary Fiction	252	0	0.17	0.5	0.61	3.22	3.72	R	1.6	5.5	18
95	2/21/20	2020	CatVideoFest 2020	Oscilloscope Pictures	Other	Documentary	Live Action	Multiple Creative Types	84	0	0.22	0.48	0.59	0.04	0.51		1.25	6.9	
96	2/21/20	2020	Once Were Brothers: Robbie Robertson	Magnolia Pictures	Other	Documentary	Live Action	Factual	152	0	0.04	0.45	0.55	0.11	0.56				
97	2/21/20	2020	Seberg	Amazon Studios	Thriller/Suspense	Thriller/Suspense	Live Action	Dramatization	373	8	0.05	0.45	0.55	0.82	1.27				
98	6/12/20	2020	Infamous	Vertical Entertainment	Action	Action	Live Action	Contemporary Fiction	58	0	0.16	0.43	0.53	0.02	0.45	Not Rated	1.667	4.4	21
99	8/21/20	2020	Tulsa	Self Distributed	Drama	Drama	Live Action	Contemporary Fiction	192	0	0.08	0.41	0.51	0	0.41	PG-13	2	6.3	
100	11/20/20	2020	Buddy Games	Paramount Pictures	Comedy	Comedy	Live Action	Contemporary Fiction	401	0	0.15	0.41	0.5	0.47	0.87				
1	12/17/21	2021	Spider-Man: No Way Home	Sony Pictures	Action	Action	Animation/Live Action	Super Hero	4336	200	260.14	814.81	896.9	1106.4	1921.21	PG-13	2.467	8.2	93
2	9/3/21	2021	Shang-Chi and the Legend of the Ten Rings	Walt Disney	Action	Action	Live Action	Super Hero	4300	150	75.39	224.54	249.71	207.68	432.22	PG-13	2.2	7.3	92
3	10/1/21	2021	Venom: Let There be Carnage	Sony Pictures	Action	Action	Animation/Live Action	Super Hero	4225	110	90.03	213.55	237.45	288	501.55	PG-13	1.617	5.9	58
4	7/9/21	2021	Black Widow	Walt Disney	Action	Action	Live Action	Super Hero	4275	200	80.37	183.65	204.24	196.1	379.75	PG-13	2.233	6.6	79
5	6/25/21	2021	F9: The Fast Saga	Universal	Action	Action	Live Action	Contemporary Fiction	4203	200	70.04	173.01	192.4	546.35	719.36	PG-13	2.383	5.2	59
6	11/5/21	2021	Eternals	Walt Disney	Action	Action	Live Action	Super Hero	4090	200	71.3	164.87	183.34	236.86	401.73	PG-13	2.6	6.2	47
7	12/22/21	2021	Sing 2	Universal	Other	Musical	Digital Animation	Kids Fiction	3892	85	22.33	162.79	177.76	241.74	404.53	PG	1.833	7.3	72
8	10/8/21	2021	No Time to Die	United Artists	Action	Action	Live Action	Contemporary Fiction	4407	250	55.23	160.89	178.92	598.04	758.93	PG-13	2.717	7.3	83
9	5/28/21	2021	A Quiet Place: Part II	Paramount Pictures	Horror	Horror	Live Action	Science Fiction	3744	61	47.55	160.22	178.18	136.43	296.65				91
10	11/19/21	2021	Ghostbusters: Afterlife	Sony Pictures	Comedy	Comedy	Live Action	Science Fiction	4315	75	44.01	129.36	143.6	73.63	202.99	PG-13	2.067	7	63
11	8/13/21	2021	Free Guy	20th Century Studios	Action	Action	Live Action	Science Fiction	4165	0	28.37	121.63	135.26	201.45	323.08	PG-13	1.917	7.1	80
12	7/30/21	2021	Jungle Cruise	Walt Disney	Adventure	Adventure	Animation/Live Action	Historical Fiction	4310	200	35.02	116.99	130.1	93.48	210.47	PG-13	2.117	6.5	62
13	10/22/21	2021	Dune	Warner Bros.	Action	Action	Live Action	Science Fiction	4125	165	41.01	111.03	123.13	318.52	429.55	PG-13	2.583	8	83
14	3/31/21	2021	Godzilla vs. Kong	Warner Bros.	Action	Action	Live Action	Science Fiction	3084	155	32.2	100.92	112.23	369.2	470.12	PG-13	1.883	6.3	75
15	11/24/21	2021	Encanto	Walt Disney	Adventure	Adventure	Digital Animation	Kids Fiction	3980	150	27.21	96.09	106.66	134.72	230.82	PG	1.7	7.2	
16	10/15/21	2021	Halloween Kills	Universal	Horror	Horror	Live Action	Contemporary Fiction	3727	20	49.4	92	102.32	38.85	130.85	R	1.75	5.5	38
17	5/28/21	2021	Cruella	Walt Disney	Comedy	Comedy	Live Action	Historical Fiction	3922	100	21.5	86.1	95.75	139.71	225.81	PG-13	2.233	7.3	75
18	7/16/21	2021	Space Jam: A New Legacy	Warner Bros.	Comedy	Comedy	Animation/Live Action	Kids Fiction	4002	150	31.05	70.59	78.51	93.1	163.69	PG	1.917	4.5	25
19	6/4/21	2021	The Conjuring: The Devil Made Me Do It	Warner Bros.	Horror	Horror	Live Action	Historical Fiction	3280	40	24.1	65.63	72.99	140.8	206.43	R	1.867	6.2	56
20	8/27/21	2021	Candyman	Universal	Horror	Horror	Live Action	Contemporary Fiction	3569	25	22	61.19	68.05	16.2	77.39	R	1.517	5.9	84
21	7/2/21	2021	The Boss Baby: Family Business	Universal	Adventure	Adventure	Digital Animation	Kids Fiction	3688	82	16	57.3	63.72	88.98	146.28	PG	1.783	5.9	46
22	10/1/21	2021	The Addams Family 2	United Artists	Adventure	Adventure	Digital Animation	Kids Fiction	4207	0	17.33	56.49	62.82	62.89	119.38	PG	1.55	5.4	28
23	8/5/21	2021	The Suicide Squad	Warner Bros.	Action	Action	Live Action	Super Hero	4019	185	26.21	55.82	62.07	112.9	168.72	R	2.2	7.2	
24	3/5/21	2021	Raya and the Last Dragon	Walt Disney	Adventure	Adventure	Digital Animation	Fantasy	2375	0	8.5	54.72	60.86	61.48	116.2	PG	1.783	7.3	93
25	11/24/21	2021	House of Gucci	United Artists	Drama	Drama	Live Action	Dramatization	3477	75	14.42	53.81	59.64	93.66	147.47	R	2.633	6.6	61
26	4/23/21	2021	Demon Slayer: Kimetsu no Yaiba	FUNimation	Adventure	Adventure	Digital Animation	Fantasy	2087	15.75	21.14	50.27	55.44	462.43	512.7		1.45	8.5	
27	11/10/21	2021	Clifford the Big Red Dog	Paramount Pictures	Adventure	Adventure	Animation/Live Action	Kids Fiction	3700	64	16.63	48.95	54.43	64.4	113.35	PG	1.6	5.9	58
28	7/23/21	2021	Old	Universal	Thriller/Suspense	Thriller/Suspense	Live Action	Contemporary Fiction	3379	18	16.85	48.28	53.69	41.56	89.84	PG-13	1.8	5.8	50
29	2/26/21	2021	Tom and Jerry	Warner Bros.	Adventure	Adventure	Animation/Live Action	Kids Fiction	2563	50	14.11	46.54	51.75	90	136.54			6.6	
30	7/2/21	2021	The Forever Purge	Universal	Horror	Horror	Live Action	Science Fiction	3058	18	12.55	44.54	49.53	32.41	76.95	R	1.717	5.4	48
31	4/23/21	2021	Mortal Kombat	Warner Bros.	Action	Action	Animation/Live Action	Fantasy	3114	55	23.3	42.33	47.07	42.1	84.43	R	1.833	6.1	55
32	6/11/21	2021	Peter Rabbit 2: The Runaway	Sony Pictures	Adventure	Adventure	Animation/Live Action	Kids Fiction	3346	45	10.1	40.5	45.04	116.71	157.21	PG	1.55	6.2	68
33	12/22/21	2021	The Matrix Resurrections	Warner Bros.	Action	Action	Live Action	Science Fiction	3552	190	10.75	40.46	41.55	119.7	160.16	R	2.467	5.6	63
34	8/20/21	2021	PAW Patrol: The Movie	Paramount Pictures	Adventure	Adventure	Digital Animation	Kids Fiction	3189	26	13.15	40.13	44.63	111.28	151.4	G	1.433	6.1	82
35	12/10/21	2021	West Side Story	20th Century Studios	Other	Musical	Live Action	Contemporary Fiction	2820	100	10.57	38.53	42.46	36.3	74.83	PG-13	2.6	7.1	91
36	6/16/21	2021	The Hitman's Wife's Bodyguard	Lionsgate	Comedy	Comedy	Live Action	Contemporary Fiction	3361	70	11.4	38.01	42.28	29.37	67.39				
37	12/22/21	2021	The King's Man	20th Century Studios	Action	Action	Live Action	Historical Fiction	3180	100	5.92	37.18	40.55	83.95	121.13	R	2.183	6.3	41
38	8/13/21	2021	Don't Breathe 2	Sony Pictures	Horror	Horror	Live Action	Contemporary Fiction	3005	15	10.62	32.64	36.3	14.56	47.2	R	1.633	6	
39	6/10/21	2021	In the Heights	Warner Bros.	Other	Musical	Live Action	Contemporary Fiction	3509	55	11.5	29.98	33.34	15.2	45.18	PG-13	2.383	7.2	
40	7/23/21	2021	Snake Eyes: G.I. Joe Origins	Paramount Pictures	Action	Action	Live Action	Contemporary Fiction	3540	88	13.37	28.26	31.43	6.41	34.68				
41	3/26/21	2021	Nobody	Universal	Thriller/Suspense	Thriller/Suspense	Live Action	Contemporary Fiction	2567	16	6.82	27.57	30.66	29.94	57.51	R	1.533	7.4	83
42	5/7/21	2021	Wrath of Man	United Artists	Action	Action	Live Action	Contemporary Fiction	3007	40	8.31	27.47	30.55	76.45	103.91	R	1.983	7.1	68
43	12/25/21	2021	American Underdog: The Kurt Warner Story	Lionsgate	Drama	Drama	Live Action	Dramatization	2813	25	5.86	26.51	28.94	0	26.51				
44	7/16/21	2021	Escape Room: Tournament of Champions	Sony Pictures	Horror	Horror	Live Action	Contemporary Fiction	2815	15	8.8	25.31	28.15	28.18	53.49	PG-13	1.467	5.7	52
45	8/13/21	2021	Respect	United Artists	Drama	Drama	Live Action	Dramatization	3207	0	8.81	24.28	27	11.47	35.75	PG-13	2.417	6.6	68
46	5/14/21	2021	Spiral	Lionsgate	Horror	Horror	Live Action	Contemporary Fiction	2991	20	8.75	23.22	25.82	16.3	39.52	R	1.55	5.2	39
47	10/22/21	2021	Ron's Gone Wrong	20th Century Studios	Adventure	Adventure	Digital Animation	Kids Fiction	3560	0	7.3	23.01	25.59	35.23	58.23	PG	1.783	7.1	
48	6/4/21	2021	Spirit Untamed	Universal	Adventure	Adventure	Digital Animation	Kids Fiction	3394	30	6.1	17.72	19.7	24.52	42.24	PG	1.467	5.5	48
49	11/26/21	2021	Licorice Pizza	United Artists	Drama	Drama	Live Action	Contemporary Fiction	1977	40	0.35	17.32	18.81	15.59	32.9	R	2.217	7.1	90
50	7/30/21	2021	The Green Knight	A24	Adventure	Adventure	Live Action	Fantasy	2798	15	6.75	17.17	19.1	2.85	20.02	R	2.167	6.6	89
51	11/24/21	2021	Resident Evil: Welcome to Raccoon City	Sony Pictures	Horror	Horror	Live Action	Science Fiction	2803	25	5.32	17	18.9	24.91	41.91	R	1.783	5.2	30
52	10/22/21	2021	The French Dispatch	Searchlight Pictures	Comedy	Comedy	Live Action	Historical Fiction	1225	0	1.35	16.12	17.93	31.26	47.39	R	1.783	7.1	75
53	1/15/21	2021	The Marksman	Open Road	Action	Action	Live Action	Contemporary Fiction	2018	23	3.1	15.57	17.31	8.29	23.86	PG-13	1.8	5.7	37
54	4/2/21	2021	The Unholy	Sony Pictures	Horror	Horror	Live Action	Contemporary Fiction	2057	10	3.15	15.53	17.27	15.26	30.79	PG-13	1.65	5.1	27
55	1/29/21	2021	The Little Things	Warner Bros.	Thriller/Suspense	Thriller/Suspense	Live Action	Contemporary Fiction	2206	30	4.71	15.34	17.06	15.5	30.84	R	2.133	6.3	45
56	11/19/21	2021	King Richard	Warner Bros.	Drama	Drama	Live Action	Dramatization	3302	50	5.41	15.14	16.82	24.4	39.54	PG-13	2.4	7.5	90
57	9/24/21	2021	Dear Evan Hansen	Universal	Other	Musical	Live Action	Contemporary Fiction	3364	28	7.44	15	16.68	2.51	17.51	PG-13	2.283	6.1	28
58	9/10/21	2021	Malignant	Warner Bros.	Horror	Horror	Live Action	Contemporary Fiction	3501	40	5.43	13.39	14.89	21.5	34.89	R	1.85	6.2	77
59	12/1/21	2021	Christmas with the Chosen: The Messenger	Fathom Events	Other	Concert/Performance	Live Action	Contemporary Fiction	1700	0	4.24	13.39	14.89	0	13.39				
60	3/5/21	2021	Chaos Walking	Lionsgate	Action	Action	Live Action	Science Fiction	2132	100	3.78	13.29	14.78	13.78	27.07	PG-13	1.817	5.7	21
61	12/17/21	2021	Nightmare Alley	Searchlight Pictures	Thriller/Suspense	Thriller/Suspense	Live Action	Historical Fiction	2145	60	2.81	11.34	12.44	26.2	37.54	R	2.5	7	80
62	10/15/21	2021	The Last Duel	20th Century Studios	Drama	Drama	Live Action	Dramatization	3065	100	4.76	10.85	12.07	19.23	30.08	R	2.533	7.3	85
63	10/29/21	2021	Antlers	Searchlight Pictures	Horror	Horror	Live Action	Contemporary Fiction	2800	0	4.27	10.62	11.81	25.06	35.68	R	1.65	5.9	59
64	9/17/21	2021	Cry Macho	Warner Bros.	Drama	Drama	Live Action	Historical Fiction	4022	0	4.43	10.31	11.47	6.2	16.51	PG-13	1.733	5.7	57
65	10/29/21	2021	Last Night in Soho	Focus Features	Thriller/Suspense	Thriller/Suspense	Live Action	Historical Fiction	3016	43	4.18	10.13	11.26	12.44	22.57	R	1.933	7	75
66	10/29/21	2021	Boku no Hero Academia: World Heroes	FUNimation	Adventure	Adventure	Digital Animation	Super Hero	1581	0	6.22	9.77	10.86	31.09	40.86				
67	11/12/21	2021	Belfast	Focus Features	Drama	Drama	Live Action	Historical Fiction	1255	0	1.78	9.25	10.2	40.26	49.51	PG-13	1.633	7.2	86
68	10/1/21	2021	The Many Saints of Newark	Warner Bros.	Drama	Drama	Live Action	Historical Fiction	3181	50	4.65	8.24	9.16	4.8	13.04	R	2	6.3	72
69	8/20/21	2021	The Protege	Lionsgate	Action	Action	Live Action	Contemporary Fiction	2577	0	2.91	7.45	8.28	0.81	8.26	R	1.817	6.1	
70	5/14/21	2021	Those Who Wish Me Dead	Warner Bros.	Thriller/Suspense	Thriller/Suspense	Live Action	Contemporary Fiction	3379	0	2.83	7.41	8.24	11.7	19.11	R	1.667	6	63
71	8/20/21	2021	The Night House	Searchlight Pictures	Horror	Horror	Live Action	Contemporary Fiction	2240	0	2.86	7.1	7.9	8.39	15.49				
72	11/5/21	2021	Spencer	Neon	Drama	Drama	Live Action	Dramatization	1265	0	2.1	7.09	7.88	9.46	16.55	R	1.95	6.5	83
