rank	country	HDI	Life expectancy	Schooling expected	School years	GNI/capita	GNI-HDI	HDI rank
1	Switzerland	0.967	84.3	16.6	13.9	69433	6	1
2	Norway	0.966	83.4	18.6	13.1	69190	6	2
3	Iceland	0.959	82.8	19.1	13.8	54688	16	4
4	Hong Kong China (SAR)	0.956	84.3	17.8	12.3	62486	6	3
5	Denmark	0.952	81.9	18.8	13.0	62019	6	8
5	Sweden	0.952	83.5	19.0	12.7	56996	10	5
7	Germany	0.950	81.0	17.3	14.3	55340	11	7
7	Ireland	0.950	82.7	19.1	11.7	87468	-3	9
9	Singapore	0.949	84.1	16.9	11.9	88761	-6	10
10	Australia	0.946	83.6	21.1	12.7	49257	14	5
10	Netherlands	0.946	82.5	18.6	12.6	57278	4	11
12	Belgium	0.942	82.3	18.9	12.5	53644	9	13
12	Finland	0.942	82.4	19.2	12.9	49522	11	11
12	Liechtenstein	0.942	84.7	15.5	12.4	146673	-11	14
15	United Kingdom	0.940	82.2	17.6	13.4	46624	13	17
16	New Zealand	0.939	83.0	19.7	12.9	43665	16	14
17	United Arab Emirates	0.937	79.2	17.2	12.8	74104	-11	17
18	Canada	0.935	82.8	16.0	13.9	48444	8	16
19	Korea (Republic of)	0.929	84.0	16.5	12.6	46026	10	20
20	Luxembourg	0.927	82.6	14.2	13.0	78554	-15	19
20	United States	0.927	78.2	16.4	13.6	65565	-11	21
22	Austria	0.926	82.4	16.4	12.3	56530	-5	22
22	Slovenia	0.926	82.1	17.4	12.9	41587	13	24
24	Japan	0.920	84.8	15.5	12.7	43644	9	22
25	Israel	0.915	82.6	15.0	13.4	43588	9	26
25	Malta	0.915	83.7	15.9	12.2	44464	5	25
27	Spain	0.911	83.9	17.8	10.6	40043	10	28
28	France	0.910	83.2	16.0	11.7	47379	-1	27
29	Cyprus	0.907	81.9	16.2	12.4	40137	7	29
30	Italy	0.906	84.1	16.7	10.7	44284	1	30
31	Estonia	0.899	79.2	15.9	13.5	37152	9	32
32	Czechia	0.895	78.1	16.3	12.9	39945	6	31
33	Greece	0.893	80.6	20.0	11.4	31382	20	33
34	Bahrain	0.888	79.2	16.3	11.0	48731	-9	34
35	Andorra	0.884	83.6	12.8	11.6	54233	-15	43
36	Poland	0.881	77.0	15.9	13.2	35151	7	35
37	Latvia	0.879	75.9	16.6	13.3	32083	13	39
37	Lithuania	0.879	74.3	16.4	13.5	38131	2	36
39	Croatia	0.878	79.2	15.6	12.3	34324	5	37
40	Qatar	0.875	81.6	13.3	10.1	95944	-38	41
40	Saudi Arabia	0.875	77.9	15.2	11.3	50620	-18	37
42	Portugal	0.874	82.2	16.8	9.6	35315	0	39
43	San Marino	0.867	83.4	12.4	10.5	57687	-30	44
44	Chile	0.860	79.5	16.8	11.1	24431	15	42
45	Slovakia	0.855	75.3	14.7	13.0	32171	4	45
45	TŸrkiye	0.855	78.5	19.7	8.8	32834	2	48
47	Hungary	0.851	75.0	15.1	12.2	34196	-2	46
48	Argentina	0.849	76.1	19.0	11.1	22048	17	47
49	Kuwait	0.847	80.3	15.7	7.4	56729	-33	50
50	Montenegro	0.844	76.8	15.1	12.6	22513	12	49
51	Saint Kitts and Nevis	0.838	72.0	18.4	10.8	28442	3	51
52	Uruguay	0.830	78.0	17.4	9.1	22207	12	56
53	Romania	0.827	74.1	14.5	11.4	31641	-1	52
54	Antigua and Barbuda	0.826	79.2	15.5	10.5	18784	18	54
55	Brunei Darussalam	0.823	74.6	13.7	9.2	59246	-43	53
56	Russian Federation	0.821	70.1	15.7	12.4	26992	1	55
57	Bahamas	0.820	74.4	11.9	12.7	32535	-9	67
57	Panama	0.820	76.8	13.2	10.7	32029	-6	57
59	Oman	0.819	73.9	13.0	11.9	32967	-13	58
60	Georgia	0.814	71.6	16.7	12.7	15952	19	59
60	Trinidad and Tobago	0.814	74.7	14.1	11.7	22473	3	60
62	Barbados	0.809	77.7	16.5	9.9	14810	24	63
63	Malaysia	0.807	76.3	12.9	10.7	27295	-7	68
64	Costa Rica	0.806	77.3	16.1	8.8	20248	2	60
65	Serbia	0.805	74.1	14.5	11.5	19494	3	60
66	Thailand	0.803	79.7	15.6	8.8	16887	10	69
67	Kazakhstan	0.802	69.5	14.8	12.4	22587	-6	65
67	Seychelles	0.802	71.7	13.9	11.2	28386	-12	71
69	Belarus	0.801	73.2	14.0	12.2	18425	5	65
	HIGH HUMAN DEVELOPMENT							
70	Bulgaria	0.799	71.5	13.9	11.4	25921	-12	70
71	Palau	0.797	65.4	17.2	13.0	19344	-2	64
72	Mauritius	0.796	74.0	14.6	10.0	23252	-12	72
73	Grenada	0.793	75.3	16.6	9.9	13593	18	73
74	Albania	0.789	76.8	14.5	10.1	15293	7	74
75	China	0.788	78.6	15.2	8.1	18025	0	74
76	Armenia	0.786	73.4	14.4	11.3	15388	4	79
77	Mexico	0.781	74.8	14.5	9.2	19138	-7	83
78	Iran (Islamic Republic of)	0.780	74.6	14.1	10.7	14770	10	77
78	Sri Lanka	0.780	76.6	13.6	11.2	11899	24	76
80	Bosnia and Herzegovina	0.779	75.3	13.3	10.5	16571	-3	77
81	Saint Vincent and the Grenadines	0.772	69.0	16.3	11.0	14049	9	80
82	Dominican Republic	0.766	74.2	13.6	9.2	18653	-9	84
83	Ecuador	0.765	77.9	14.9	9.0	10693	25	90
83	North Macedonia	0.765	73.9	13.0	10.2	16396	-5	82
85	Cuba	0.764	78.2	14.5	10.5	7953	40	92
86	Moldova (Republic of)	0.763	68.6	14.9	11.8	12964	8	81
87	Maldives	0.762	80.8	12.2	7.8	18847	-16	88
87	Peru	0.762	73.4	14.8	10.0	11916	14	86
89	Azerbaijan	0.760	73.5	12.7	10.6	15018	-7	95
89	Brazil	0.760	73.4	15.6	8.3	14616	0	84
91	Colombia	0.758	73.7	14.4	8.9	15014	-8	89
92	Libya	0.746	72.2	14.0	7.8	19752	-25	90
93	Algeria	0.745	77.1	15.5	7.0	10978	13	93
94	Turkmenistan	0.744	69.4	13.2	11.1	12860	1	93
95	Guyana	0.742	66.0	13.0	8.6	35783	-54	105
96	Mongolia	0.741	72.7	14.5	9.4	10351	15	99
97	Dominica	0.740	73.0	13.6	9.2	12468	-1	97
98	Tonga	0.739	71.3	16.3	10.9	6360	34	95
99	Jordan	0.736	74.2	12.6	10.4	9295	15	98
100	Ukraine	0.734	68.6	13.3	11.1	11416	3	86
101	Tunisia	0.732	74.3	14.6	8.0	10297	11	101
102	Marshall Islands	0.731	65.1	16.4	12.8	6855	28	101
102	Paraguay	0.731	70.5	13.9	8.9	13161	-9	99
