Year	month	Saffir-Simpson	Central_Pressure	Max_wind	name
1955	Sep	2	955	90	Ione
1956	Sep	1	974	80	Flossy
1957	Jun	3	946	110	Audrey
1958	Sep	3	938	110	Helene
1959	Jul	1	995	65	Cindy
1959	Jul	1	980	75	Debra
1959	Sep	4	951	115	Gracie
1960	Sep	4	930	125	Donna
1960	Sep	1	980	80	Ethel
1961	Sep	4	931	125	Carla
1962	None				
1963	None				
1964	Aug	2	968	95	Cleo
1964	Sep	2	966	95	Dora
1964	Oct	2	959	90	Hilda
1964	Oct	2	970	90	Isbell
1965	Sep	4	946	115	Betsy
1966	Jun	3	962	100	Alma
1966	Oct	2	984	85	Inez
1967	Sep	3	940	100	Beulah
1968	Oct	2	978	85	Gladys
1969	Aug	5	900	150	Camille
1970	Aug	4	944	120	Celia
1971	Sep	2	978		Edith
1971	Sep	1	979		Fern
1971	Sep	1	995		Ginger
1972	Jun	1	980		Agnes
1973	None				
1974	Sep	3	952		Carmen
1975	Sep	3	955		Eloise
1976	Aug	1	980		Belle
1977	Sep	1	995		Babe
1978	None				
1979	Jul	1	986		Bob
1979	Sep	2	970		David
1979	Sep	3	946		Frederic
1980	Aug	3	945	100	Allen
1981	None				
1982	None				
1983	Aug	3	962	100	Alicia
1984	Sep	2	949	95	Diana
1985	Jul	1	1003	65	Bob
1985	Aug	1	987	80	Danny
1985	Sep	3	959	100	Elena
1985	Sep	3	942	90	Gloria
1985	Oct	1	971	75	Juan
1985	Nov	2	967	85	Kate
1986	Jun	1	990	75	Bonnie
1986	Aug	1	990	65	Charley
1987	Oct	1	993	65	Floyd
1988	Sep	1	984	70	Florence
1989	Aug	1	986	70	Chantal
1989	Sep	4	934	120	Hugo
1989	Oct	1	983	75	Jerry
1990	None				
1991	Aug	2	962	90	Bob
1992	Aug	5	922	145	Andrew
1993	Aug	3	961	100	Emily
1994	None				
1995	Aug	2	973	85	Erin
1995	Oct	3	942	100	Opal
1996	Jul	2	974	90	Bertha
1996	Sep	3	954	100	Fran
1997	Jul	1	984	70	Danny
1998	Aug	2	964	95	Bonnie
1998	Sep	1	987	70	Earl
1998	Sep	2	964	90	Georges
1999	Aug	3	951	100	Bret
1999	Sep	2	956	90	Floyd
1999	Oct	2	964	95	Irene
2000	None				
2001	None				
2002	Oct	1	963	80	Lili
2003	Jul	1	979	80	Claudette
2003	Sep	2	957	90	Isabel
2004	Aug	1	972	70	Alex
2004	Aug	4	941	130	Charley
2004	Aug	1	985	65	Gaston
2004	Sep	2	960	90	Frances
2004	Sep	3	946	105	Ivan
2004	Sep	3	950	105	Jeanne
2005	Jul	1	991	65	Cindy
2005	Jul	3	946	105	Dennis
2005	Aug	3	920	110	Katrina
2005	Sep	1	982	65	Ophelia
2005	Sep	3	937	100	Rita
2005	Oct	3	950	105	Wilma
2006	None				
2007	Sep	1	985	80	Humberto
2008	Jul	1	967	75	Dolly
2008	Sep	2	954	90	Gustav
2008	Sep	2	950	95	Ike
2009	None				
2010	None				
2011	Aug	1	952	75	Irene
2012	Aug	1	966	70	Isaac
2012	Oct	1	942	65	Sandy
2013	None				
2014	Jul	2	973	85	Arthur
2015	None				
2016	Sep	1	981	70	Hermine
2016	Oct	2	963	85	Matthew
2017	Aug	4	937	115	Harvey
2017	Sep	4	931	115	Irma
2017	Oct	1	983	65	Nate
2018	Sep	1	956	80	Florence
2018	Oct	5	919	140	Michael
2019	Jul	1	993	65	Barry
2019	Sep	2	956	85	Dorian
2020	Jul	1	973	80	Hanna
2020	Aug	1	986	80	Isaias
2020	Aug	4	939	130	Laura
2020	Sep	2	965	95	Sally
2020	Oct	2	970	85	Delta
2020	Oct	3	970	100	Zeta
2021	Aug	4	931	130	Ida
2021	Sep	1	991	65	Nicholas
2022	Sep	4	941	130	Ian
2022	Nov	1	980	60	Nicole
2023	Aug	3	950	100	Idalia
