ONET.SOC.2010.Code	OPR.Job.Title	OPR.Field.Title	Prestige1989_GSS	Prestige2012_GSS	Prestige2016_OPR	NumEmployedK	MeanAnnualSal	MedianAnnualSal	Manual	MedSalK
19-4011.02	Agricultural and/or Food Science Technician	LifePhysicalSocialScience	40.85	NA	59.87	15.19	54000	49090	0	49.09
19-4021.00	Biological Technician	LifePhysicalSocialScience	32.35	4.8	64.95	76.99	56540	51430	0	51.43
19-4031.00	Chemical Technician	LifePhysicalSocialScience	37.61	5.5	66.09	55.88	60920	56750	0	56.75
19-4091.00	Environmental Science Technician	LifePhysicalSocialScience	40.85	NA	63.96	32.39	57470	50660	0	50.66
19-4041.00	Geological and/or Petroleum Technician	LifePhysicalSocialScience	40.85	6.15	67.91	8.86	64590	52440	0	52.44
19-4041.01	Geophysical Data Technician	LifePhysicalSocialScience	40.85	NA	67.86	8.86	64590	52440	0	52.44
19-4041.02	Geological Sample Test Technician	LifePhysicalSocialScience	40.85	NA	61.32	8.86	64590	52440	0	52.44
19-4099.00	Other - Life, Physical and Social Science Technician	LifePhysicalSocialScience	40.85	4.5	58.99	3	61500	55890	0	55.89
19-4041.00	Geological and/or Petroleum Technician	LifePhysicalSocialScience	40.85	NA	67.91	3	61500	55890	0	55.89
19-4051.01	Nuclear Equipment Operation Technician	LifePhysicalSocialScience	40.85	NA	70.11	5.4	97520	101740	0	101.74
19-4051.02	Nuclear Monitoring Technician	LifePhysicalSocialScience	40.85	NA	69.84	5.4	97520	101740	0	101.74
19-4051.00	Nuclear Technician	LifePhysicalSocialScience	40.85	7	76.86	5.4	97520	101740	0	101.74
19-4061.00	Social Science Research Assistant	LifePhysicalSocialScience	38.16	5.3	55.41	30.89	62370	56400	0	56.4
19-4061.01	City and Regional Planning Aide	LifePhysicalSocialScience	38.16	NA	55.29	30.89	62370	56400	0	56.4
19-4093.00	Forest and Conservation Technician	LifePhysicalSocialScience	40.85	NA	55.95	28.74	54260	51880	0	51.88
19-4092.00	Forensic Science Technician	LifePhysicalSocialScience	40.85	NA	72.67	17.52	71540	64940	0	64.94
19-4099.01	Quality Control Analyst	LifePhysicalSocialScience	64.38	NA	54.79	72.23	62640	58350	0	58.35
19-4099.03	Remote Sensing Technician	LifePhysicalSocialScience	40.85	NA	60	72.23	62640	58350	0	58.35
19-4099.00	Other - Life, Physical and Social Science Technician	LifePhysicalSocialScience	40.85	NA	58.99	72.23	62640	58350	0	58.35
29-9011.00	Occupational Health and Safety Specialist	Healthcare	64.38	NA	57.74	122.3	85570	81140	0	81.14
29-9012.00	Occupational Health and Safety Technician	Healthcare	40.85	NA	56.81	27.27	64250	57920	0	57.92
21-1012.00	Counselor - Educational, Vocational, and School	CommSocialSvcs	56.69	NA	57.46	327.66	66990	61710	0	61.71
21-1013.00	Marriage and/or Family Therapist	CommSocialSvcs	62.36	NA	63.48	63.34	68730	58510	0	58.51
21-1015.00	Counselor - Rehabilitation	CommSocialSvcs	56.69	NA	58.09	84.75	48430	44040	0	44.04
21-1019.00	Other - Counselor	CommSocialSvcs	56.69	5.07	58.3	35.58	52360	46130	0	46.13
21-1021.00	Social Worker - Child, Family and/or School	CommSocialSvcs	51.5	NA	53.62	352.16	59190	53940	0	53.94
21-1022.00	Social Worker - Medical and/or Public Health	CommSocialSvcs	51.5	NA	51.34	185.02	67430	62940	0	62.94
21-1023.00	Social Worker - Mental Health and/or Substance Abuse	CommSocialSvcs	51.5	NA	53.51	114.68	63870	55960	0	55.96
21-1029.00	Other - Social Worker	CommSocialSvcs	51.5	5.3	51.38	58.46	68800	63770	0	63.77
21-1091.00	Health Educator	CommSocialSvcs	73.51	NA	59.47	57.8	69790	62860	0	62.86
21-1092.00	Probation Officer and/or Correctional Treatment Specialist	CommSocialSvcs	48.4	4.8	47.08	85.87	67880	61800	0	61.8
21-1093.00	Social and Human Service Assistant	CommSocialSvcs	30.93	4.5	52.14	409.31	44240	41410	0	41.41
21-1094.00	Social Worker - Medical and/or Public Health	CommSocialSvcs	51.5	NA	51.34	58.55	52610	48200	0	48.2
21-1099.00	Other - Community and/or Social Service Specialist	CommSocialSvcs	30.93	5.45	49.6	95.31	54020	49690	0	49.69
21-2011.00	Clergy	CommSocialSvcs	68.96	6.13	59.35	56.64	63720	58920	0	58.92
21-2021.00	Director of Religious Education or Activities	CommSocialSvcs	43.55	4	55.12	23.27	61740	50140	0	50.14
21-2099.00	Other - Religious Worker	CommSocialSvcs	43.55	3.5	50.02	11.87	45050	37960	0	37.96
23-1011.00	Lawyer	LawLegalSvcs	74.77	6.4	72.94	731.34	176470	145760	0	145.76
23-1012.00	Law Clerk	LawLegalSvcs	64.38	5.7	57.92	14.68	64880	57490	0	57.49
23-1021.00	Administrative Law Judge, Adjudicator, and/or Hearing Officer	LawLegalSvcs	64.38	6.9	74.45	14.67	119940	111090	0	111.09
23-1022.00	Arbitrator, Mediator, and/or Conciliator	LawLegalSvcs	64.38	NA	60.72	7.06	95370	71540	0	71.54
23-1023.00	Judge, Magistrate Judge, and/or Magistrate	LawLegalSvcs	71.49	NA	80.86	24.47	139000	148910	0	148.91
23-2011.00	Paralegal and/or Legal Assistant	LawLegalSvcs	56.53	5.1	57.49	354.89	66460	60970	0	60.97
23-2093.00	Title Examiner, Abstractor, and/or Searcher	LawLegalSvcs	64.38	NA	47.92	49.76	59440	53550	0	53.55
23-2099.00	Other - Legal Support Worker	LawLegalSvcs	64.38	4.55	50.97	43.76	82960	67700	0	67.7
25-1011.00	Postsecondary Teacher - Business	EduTrainingLibrarySvcs	73.51	NA	62.62	82.98	113240	97130	0	97.13
25-1021.00	Postsecondary Teacher - Computer Science	EduTrainingLibrarySvcs	73.51	NA	66.56	36.15	106380	96430	0	96.43
25-1022.00	Postsecondary Teacher - Mathematical Science	EduTrainingLibrarySvcs	73.51	NA	67.33	48.23	95320	81020	0	81.02
25-1031.00	Postsecondary Teacher - Architecture	EduTrainingLibrarySvcs	73.51	NA	69.37	8.35	114900	105770	0	105.77
25-1032.00	Postsecondary Teacher - Engineering	EduTrainingLibrarySvcs	73.51	NA	73.42	38.37	120630	106910	0	106.91
25-1041.00	Postsecondary Teacher - Agricultural Sciences	EduTrainingLibrarySvcs	73.51	NA	63.09	7.55	95610	85260	0	85.26
25-1042.00	Postsecondary Teacher - Biological Science	EduTrainingLibrarySvcs	73.51	NA	65.2	52.05	102270	83920	0	83.92
25-1043.00	Postsecondary Teacher - Forestry and/or Conservation Science	EduTrainingLibrarySvcs	73.51	NA	61.18	1.26	102230	101650	0	101.65
25-1051.00	Postsecondary Teacher - Atmospheric, Earth, Marine and/or Space Sciences	EduTrainingLibrarySvcs	73.51	NA	70.11	11.77	111930	100690	0	100.69
25-1052.00	Postsecondary Teacher - Chemistry	EduTrainingLibrarySvcs	73.51	NA	66.52	20.21	102630	85810	0	85.81
25-1053.00	Postsecondary Teacher - Environmental Science	EduTrainingLibrarySvcs	73.51	NA	64.15	7.12	100910	88410	0	88.41
25-1054.00	Postsecondary Teacher - Physics	EduTrainingLibrarySvcs	73.51	NA	71.36	14.03	106950	98020	0	98.02
25-1061.00	Postsecondary Teacher - Anthropology and/or Archeology	EduTrainingLibrarySvcs	73.51	NA	67.69	5.03	103640	93650	0	93.65
25-1062.00	Postsecondary Teacher - Area, Ethnic and/or Cultural Studies	EduTrainingLibrarySvcs	73.51	NA	56.48	11.57	100390	86030	0	86.03
25-1063.00	Postsecondary Teacher - Economics	EduTrainingLibrarySvcs	73.51	NA	62.38	12.21	133650	115300	0	115.3
25-1064.00	Postsecondary Teacher - Geography	EduTrainingLibrarySvcs	73.51	NA	56.45	3.48	97660	85600	0	85.6
25-1065.00	Postsecondary Teacher - Political Science	EduTrainingLibrarySvcs	73.51	NA	63.68	17.09	104910	93810	0	93.81
25-1066.00	Postsecondary Teacher - Psychology	EduTrainingLibrarySvcs	73.51	NA	67.63	40.61	93990	82140	0	82.14
25-1067.00	Postsecondary Teacher - Sociology	EduTrainingLibrarySvcs	73.51	NA	64	12.87	97580	82670	0	82.67
25-1069.00	Postsecondary Teacher - Social Sciences	EduTrainingLibrarySvcs	73.51	NA	59.51	16.9	91710	77750	0	77.75
25-1071.00	Postsecondary Teacher - Health Specialties	EduTrainingLibrarySvcs	73.51	NA	66.23	225.36	134440	105650	0	105.65
25-1072.00	Postsecondary Teacher - Nursing	EduTrainingLibrarySvcs	73.51	NA	64.73	72.7	86530	80780	0	80.78
25-1081.00	Postsecondary Teacher - Education	EduTrainingLibrarySvcs	73.51	NA	63.36	60.86	80750	73240	0	73.24
25-1082.00	Postsecondary Teacher - Library Science	EduTrainingLibrarySvcs	73.51	NA	56.56	4.22	88190	80310	0	80.31
25-1111.00	Postsecondary Teacher - Criminal Justice and/or Law Enforcement	EduTrainingLibrarySvcs	73.51	NA	63.38	13.39	83470	69030	0	69.03
25-1112.00	Postsecondary Teacher - Law	EduTrainingLibrarySvcs	73.51	NA	72.5	14.57	142440	127360	0	127.36
25-1113.00	Postsecondary Teacher - Social Work	EduTrainingLibrarySvcs	73.51	NA	55.37	11.73	80840	75020	0	75.02
25-1121.00	Postsecondary Teacher - Art, Drama and/or Music	EduTrainingLibrarySvcs	73.51	NA	58.21	101.5	100840	80360	0	80.36
25-1122.00	Postsecondary Teacher - Communications	EduTrainingLibrarySvcs	73.51	NA	59.52	28.52	90950	79910	0	79.91
25-1123.00	Postsecondary Teacher - English Language and/or Literature	EduTrainingLibrarySvcs	73.51	NA	59.73	57.6	87090	78130	0	78.13
25-1124.00	Postsecondary Teacher - Foreign Language and/or Literature	EduTrainingLibrarySvcs	73.51	NA	63.45	20.82	88490	78760	0	78.76
25-1125.00	Postsecondary Teacher - History	EduTrainingLibrarySvcs	73.51	NA	64.31	20.61	93120	82140	0	82.14
25-1126.00	Postsecondary Teacher - Philosophy or Religion	EduTrainingLibrarySvcs	73.51	NA	59.56	20.32	89680	79930	0	79.93
25-1192.00	Postsecondary Teacher - Home Economics	EduTrainingLibrarySvcs	73.51	NA	52.93	2.66	89630	78410	0	78.41
25-1193.00	Postsecondary Teacher - Recreation and Fitness Studies	EduTrainingLibrarySvcs	73.51	NA	49.44	13.27	87340	75770	0	75.77
25-1194.00	Postsecondary Teacher - Vocational Education	EduTrainingLibrarySvcs	73.51	NA	56.36	111.18	68300	62060	0	62.06
25-1199.00	Postsecondary Teacher - Other	EduTrainingLibrarySvcs	73.51	6.81	58.14	166.98	96570	79870	0	79.87
25-2011.00	Preschool Teacher (except Special Education)	EduTrainingLibrarySvcs	54.93	5.3	54.85	430.24	41410	37130	0	37.13
25-2012.00	Kindergarten Teacher (except Special Education)	EduTrainingLibrarySvcs	54.93	NA	55.35	118.58	67790	62690	0	62.69
25-2021.00	Elementary School Teacher (except Special Education)	EduTrainingLibrarySvcs	64.08	5.8	57.35	1410.07	70740	63680	0	63.68
25-2022.00	Middle School Teacher (except Special and Vocational Education)	EduTrainingLibrarySvcs	64.08	NA	55.37	626.69	71460	64290	0	64.29
25-2023.00	Vocational Education Teacher - Middle School	EduTrainingLibrarySvcs	64.08	NA	52.33	12.21	69020	63860	0	63.86
25-2031.00	Secondary School Teacher (except Special and Vocational Education)	EduTrainingLibrarySvcs	66.37	6.1	57.51	1045.17	73800	65220	0	65.22
25-2032.00	Vocational Education Teacher - Secondary School	EduTrainingLibrarySvcs	66.37	NA	55.16	90.07	70810	65130	0	65.13
25-2051.00	Special Education Teacher - Preschool, Kindergarten, and Elementary School	EduTrainingLibrarySvcs	65.06	NA	57.49	24.85	76420	65270	0	65.27
25-2053.00	Special Education Teacher - Middle School	EduTrainingLibrarySvcs	65.06	NA	57.56	88.85	73630	66600	0	66.6
25-2054.00	Special Education Teacher - Secondary School	EduTrainingLibrarySvcs	65.06	NA	54.9	158.15	74670	66620	0	66.62
25-2059.00	NA	NA	NA	5.8	NA	43.7	76000	67190	0	67.19
25-2059.01	Adaptive Physical Education Specialist	EduTrainingLibrarySvcs	73.51	NA	63.51	43.7	76000	67190	0	67.19
25-3011.00	Adult Literacy, Remedial Education, and/or GED Teacher and/or Instructor	EduTrainingLibrarySvcs	45.73	NA	59.52	36.89	65430	60560	0	60.56
25-3021.00	Self-Enrichment Education Teacher	EduTrainingLibrarySvcs	45.73	NA	55.08	272.11	52890	45330	0	45.33
25-3099.00	Other - Teacher and/or Instructor	EduTrainingLibrarySvcs	45.73	4.2	59.29	444.53	43570	37380	0	37.38
25-3099.00	Other - Teacher and/or Instructor	EduTrainingLibrarySvcs	45.73	NA	59.29	162.3	48580	39580	0	39.58
25-3099.02	Tutor	EduTrainingLibrarySvcs	38.16	NA	49.59	162.3	48580	39580	0	39.58
25-3099.00	Other - Teacher and/or Instructor	EduTrainingLibrarySvcs	45.73	NA	59.29	118.29	70340	64390	0	64.39
25-4011.00	Archivist	EduTrainingLibrarySvcs	52.04	5.4	56.17	7.15	65700	59910	0	59.91
25-4012.00	Curator	ArtsDesignEntnSportsMedia	52.04	NA	65.74	12.51	70870	61750	0	61.75
25-4013.00	Museum Technician and/or Conservator	EduTrainingLibrarySvcs	40.85	NA	61.32	12.67	54890	48670	0	48.67
25-4021.00	Librarian	EduTrainingLibrarySvcs	54.42	5.4	47.62	133.76	68570	64370	0	64.37
25-9011.00	Audio-Visual Collections Specialist	EduTrainingLibrarySvcs	64.38	NA	52.01	133.76	68570	64370	0	64.37
25-4031.00	Library Technician	EduTrainingLibrarySvcs	40.85	3.9	47.74	76.67	42570	39310	0	39.31
25-9021.00	Farm and/or Home Management Advisor	EduTrainingLibrarySvcs	30.93	NA	51.41	8.11	61430	59770	0	59.77
25-9031.01	Instructional Designer and/or Technologist	EduTrainingLibrarySvcs	64.38	NA	61.45	207.27	77200	74620	0	74.62
25-9031.00	Instructional Coordinator	EduTrainingLibrarySvcs	53.52	NA	55.11	207.27	77200	74620	0	74.62
25-1191.00	Graduate Teaching Assistant	EduTrainingLibrarySvcs	38.16	NA	52.11	145.96	47030	43750	0	43.75
25-9099.00	Other - Education, Training, or Library Worker	EduTrainingLibrarySvcs	45.73	5	51.98	113.49	54910	49800	0	49.8
27-1011.00	Art Director	ArtsDesignEntnSportsMedia	57.62	NA	62.83	51.2	125920	106500	0	106.5
27-1012.00	Craft Artist	ArtsDesignEntnSportsMedia	52.38	NA	47.02	5.83	43610	36600	0	36.6
27-1013.00	NA	NA	NA	NA	NA	10.91	71420	59300	0	59.3
27-1014.00	Multi-Media Artist and/or Animator	ArtsDesignEntnSportsMedia	35.55	NA	64.74	29.94	109630	99060	0	99.06
27-1019.00	Other - Artist	ArtsDesignEntnSportsMedia	35.55	4.7	51.68	7.42	78890	74750	0	74.75
27-1021.00	Commercial and/or Industrial Designers	ArtsDesignEntnSportsMedia	46.53	NA	65.44	30.81	81870	76250	0	76.25
27-1022.00	Fashion Designer	ArtsDesignEntnSportsMedia	46.53	NA	67.32	19.94	97030	79290	0	79.29
27-1023.00	Floral Designer	ArtsDesignEntnSportsMedia	46.53	NA	43.03	43.35	35500	34690	0	34.69
27-1024.00	Graphic Designer	ArtsDesignEntnSportsMedia	46.53	NA	62.36	212.72	64700	58910	0	58.91
27-1025.00	Interior Designer	ArtsDesignEntnSportsMedia	46.53	NA	59.41	67.76	68530	62510	0	62.51
27-1026.00	Merchandising	ArtsDesignEntnSportsMedia	39.29	NA	33.53	175.79	39040	36230	0	36.23
27-1027.00	Set and/or Exhibit Designer	ArtsDesignEntnSportsMedia	46.53	NA	54.57	10.09	67170	59490	0	59.49
27-1029.00	Other - Designer	ArtsDesignEntnSportsMedia	46.53	4.73	59.9	9.88	75960	67500	0	67.5
27-2011.00	Actor	ArtsDesignEntnSportsMedia	57.62	5.6	69.52	62.56	NA	NA	0	NA
27-2012.02	Director - Stage, Motion Pictures, Television and/or Radio	ArtsDesignEntnSportsMedia	57.62	NA	74.35	154.47	107170	82510	0	82.51
27-2012.04	Talent Director	ArtsDesignEntnSportsMedia	57.62	NA	58.28	154.47	107170	82510	0	82.51
27-2012.00	Producer and/or Director	ArtsDesignEntnSportsMedia	57.62	5.6	74.5	154.47	107170	82510	0	82.51
27-2012.05	Technical Director and/or Manager	ArtsDesignEntnSportsMedia	57.62	NA	63.18	154.47	107170	82510	0	82.51
27-2012.01	Producer and/or Director	ArtsDesignEntnSportsMedia	57.62	NA	74.5	154.47	107170	82510	0	82.51
27-2012.03	Program Director	ArtsDesignEntnSportsMedia	57.62	NA	63.92	154.47	107170	82510	0	82.51
27-2021.00	Athlete and/or Sports Competitor	ArtsDesignEntnSportsMedia	64.66	6.2	71.03	14.93	328830	70280	0	70.28
27-2022.00	Coach and/or Scout	ArtsDesignEntnSportsMedia	38.06	NA	55.72	238.98	58700	45910	0	45.91
27-2023.00	Umpire, Referee, and/or Other Sports Official	ArtsDesignEntnSportsMedia	48.72	NA	50.2	14.84	44860	35820	0	35.82
27-2031.00	Dancer	ArtsDesignEntnSportsMedia	53.49	4.9	51.47	11.51	NA	NA	0	NA
27-2032.00	Choreographer	ArtsDesignEntnSportsMedia	53.49	NA	57.29	4.19	59090	52000	0	52
27-2041.01	Music Director and/or Composer	ArtsDesignEntnSportsMedia	46.56	NA	68.28	10.77	87840	62590	0	62.59
27-2041.04	Music Director and/or Composer	ArtsDesignEntnSportsMedia	46.56	NA	68.28	10.77	87840	62590	0	62.59
27-2041.00	Music Director and/or Composer	ArtsDesignEntnSportsMedia	46.56	5.1	68.28	10.77	87840	62590	0	62.59
27-2042.02	Musician and/or Singer	ArtsDesignEntnSportsMedia	46.56	NA	67.07	35.52	NA	NA	0	NA
27-2042.01	Singer	ArtsDesignEntnSportsMedia	46.56	NA	68.23	35.52	NA	NA	0	NA
27-2042.00	Musician and/or Singer	ArtsDesignEntnSportsMedia	46.56	NA	67.07	35.52	NA	NA	0	NA
27-2099.00	Other - Entertainer and/or Performer	ArtsDesignEntnSportsMedia	35.55	2.6	69.23	7.19	NA	NA	0	NA
27-2099.00	Other - Entertainer and/or Performer	ArtsDesignEntnSportsMedia	35.55	NA	69.23	14.72	NA	NA	0	NA
27-3011.00	Announcer	ArtsDesignEntnSportsMedia	54.81	4.2	59.1	25.07	86950	44890	0	44.89
27-3021.00	Broadcast News Analyst	ArtsDesignEntnSportsMedia	42.83	5.3	64.29	45.02	101430	57500	0	57.5
27-3022.00	Reporter and/or Correspondent	ArtsDesignEntnSportsMedia	59.75	NA	58.74	45.02	101430	57500	0	57.5
27-3031.00	Public Relations Specialist	ArtsDesignEntnSportsMedia	47.52	4.65	57.72	275.55	77720	66750	0	66.75
27-3041.00	Editor	ArtsDesignEntnSportsMedia	59.75	5.05	60.51	95.7	85110	75020	0	75.02
27-3042.00	Technical Writer	ArtsDesignEntnSportsMedia	54.31	5.4	53.65	47.97	86620	80050	0	80.05
27-3043.00	Author	ArtsDesignEntnSportsMedia	63.05	6.3	68.97	49.45	87590	73690	0	73.69
27-3043.05	NA	NA	NA	NA	NA	49.45	87590	73690	0	73.69
27-3043.04	Copy Writer	ArtsDesignEntnSportsMedia	63.05	NA	51.46	49.45	87590	73690	0	73.69
27-3091.00	Interpreter and/or Translator	ArtsDesignEntnSportsMedia	35.55	NA	58.01	51.56	63080	57090	0	57.09
23-2091.00	Court Reporter	LawLegalSvcs	64.38	NA	47.85	12.39	71040	63940	0	63.94
27-3012.00	Announcer	ArtsDesignEntnSportsMedia	54.81	NA	59.1	23.23	87140	61900	0	61.9
27-3099.00	Other - Media Related Worker	ArtsDesignEntnSportsMedia	42.83	5.5	56.06	23.23	87140	61900	0	61.9
27-4011.00	Audio and Video Equipment Technician	ArtsDesignEntnSportsMedia	40.85	4.5	49.41	66.7	59260	51640	0	51.64
27-4012.00	Broadcast Technician	ArtsDesignEntnSportsMedia	42.83	NA	55.84	26.19	71600	57690	0	57.69
27-4014.00	Sound Engineering Technician	ArtsDesignEntnSportsMedia	40.85	NA	61.14	14.6	74100	59430	0	59.43
27-4099.00	Media and Communication Equipment Worker	ArtsDesignEntnSportsMedia	29.86	4.4	49.77	9.52	73250	62240	0	62.24
27-4021.00	Photographer	ArtsDesignEntnSportsMedia	45.11	4.8	54.56	53.63	53380	40760	0	40.76
27-4031.00	Camera Operator	ArtsDesignEntnSportsMedia	32.84	5.15	57.71	23.94	71890	61800	0	61.8
27-4032.00	Film and Video Editor	ArtsDesignEntnSportsMedia	59.75	NA	61.76	29.24	83470	66600	0	66.6
27-4099.00	Media and Communication Equipment Worker	ArtsDesignEntnSportsMedia	29.86	NA	49.77	11.43	75860	71340	0	71.34
29-1011.00	Chiropractor	Healthcare	50.44	5.9	63.66	41.48	89760	76530	0	76.53
29-1021.00	Dentist	Healthcare	71.79	6.7	74.22	121.64	191750	166300	0	166.3
29-1022.00	Oral and Maxillofacial Surgeon	Healthcare	86.05	NA	80.17	4.16	334310	NA	0	NA
29-1023.00	Orthodontist	Healthcare	71.79	NA	75.88	6.4	243620	NA	0	NA
29-1024.00	Prosthodontist	Healthcare	86.05	NA	69.63	0.57	240750	234000	0	234
29-1029.00	Dentist	Healthcare	71.79	NA	74.22	5.92	244470	227690	0	227.69
29-1031.00	Dietitian and/or Nutritionist	Healthcare	55.61	5.4	58.74	73.86	71280	69680	0	69.68
29-1041.00	Optometrist	Healthcare	67.16	6.6	74.33	41.39	143000	131860	0	131.86
29-1051.00	Pharmacist	Healthcare	68.32	6.25	69.71	331.7	134790	136030	0	136.03
29-1071.00	Physician's Assistant	Healthcare	61.2	6	67.42	145.74	130490	130020	0	130.02
29-1071.01	Anesthesiologist Assistant	Healthcare	64.38	NA	63.93	145.74	130490	130020	0	130.02
29-1081.00	Podiatrist	Healthcare	64.86	6.2	66.41	9.47	162520	141650	0	141.65
29-1122.01	Vision, Orientation and Mobility Specialist	Healthcare	64.38	NA	61.17	144.84	96790	96370	0	96.37
29-1122.00	Occupational Therapist	Healthcare	55.97	5.9	62.01	144.84	96790	96370	0	96.37
29-1123.00	Physical Therapist	Healthcare	61.45	6.2	63.3	240.82	100440	99710	0	99.71
29-1124.00	Radiation Therapist	Healthcare	64.38	6.2	64.25	16.64	104420	98300	0	98.3
29-1125.00	Recreational Therapist	Healthcare	64.38	4.4	40.29	15.54	60910	57120	0	57.12
29-1125.01	Other - Therapist	Healthcare	62.36	NA	66.46	15.54	60910	57120	0	57.12
29-1125.02	Other - Therapist	Healthcare	62.36	NA	66.46	15.54	60910	57120	0	57.12
29-1126.00	Respiratory Therapist	Healthcare	62.99	5.9	67.49	129.75	80340	77960	0	77.96
29-1127.00	Speech-Language Pathologist	Healthcare	60.76	5.7	62.44	172.1	92630	89290	0	89.29
29-1128.00	Other - Therapist	Healthcare	62.36	4.9	66.46	8.06	57050	54860	0	54.86
29-1129.00	Other - Therapist	Healthcare	62.36	5.9	66.46	16.49	75660	63650	0	63.65
29-1131.00	Veterinarian	Healthcare	62.28	6.4	73.67	78.22	136300	119100	0	119.1
29-1141.01	Acute Care Nurse	Healthcare	66.48	NA	69.46	3175.39	94480	86070	0	86.07
29-1141.02	Advanced Practice Psychiatric Nurse	Healthcare	66.48	NA	69.04	3175.39	94480	86070	0	86.07
29-1141.00	Registered Nurse	Healthcare	66.48	6.05	68.03	3175.39	94480	86070	0	86.07
29-1141.04	Clinical Nurse Specialist	Management	64.38	NA	66.6	3175.39	94480	86070	0	86.07
29-1141.03	Critical Care Nurse	Healthcare	66.48	NA	70.87	3175.39	94480	86070	0	86.07
29-1151.00	Nurse Anesthetist	Healthcare	64.38	6.4	71.04	47.81	214200	212650	0	212.65
29-1161.00	Nurse Midwife	Healthcare	41.71	5	57.05	6.96	131570	129650	0	129.65
29-1171.00	Nurse Practitioner	Healthcare	64.38	6.6	68.15	280.14	128490	126260	0	126.26
29-1181.00	Audiologist	Healthcare	60.76	5.7	61.6	13.88	92620	87740	0	87.74
29-1061.00	Anesthesiologist	Healthcare	86.05	NA	78.21	33.47	339470	NA	0	NA
29-1069.00	Other - Physician and/or Surgeon	Healthcare	86.05	7.23	88.91	15.19	423250	NA	0	NA
29-1069.00	Other - Physician and/or Surgeon	Healthcare	86.05	NA	88.91	12.04	342860	NA	0	NA
29-1069.02	Dermatologist	Healthcare	86.05	NA	73.98	12.04	342860	NA	0	NA
29-1069.00	Other - Physician and/or Surgeon	Healthcare	86.05	NA	88.91	35.1	306640	NA	0	NA
29-1062.00	Family and General Practitioner	Healthcare	86.05	NA	78.97	112.01	240790	224640	0	224.64
29-1063.00	Internist	Healthcare	38.16	NA	74.26	67.21	245450	223310	0	223.31
29-1069.04	Neurologist	Healthcare	86.05	NA	87.94	9.35	271470	NA	0	NA
29-1069.00	Other - Physician and/or Surgeon	Healthcare	86.05	NA	88.91	9.35	271470	NA	0	NA
29-1064.00	Obstetrician and/or Gynecologist	Healthcare	86.05	NA	81.4	19.82	278660	NA	0	NA
29-1065.00	Pediatrician	Healthcare	86.05	NA	81.82	34.87	205860	198690	0	198.69
29-1069.00	Other - Physician and/or Surgeon	Healthcare	86.05	NA	88.91	11.02	270560	NA	0	NA
29-1069.07	Pathologist	Healthcare	86.05	NA	76.24	11.02	270560	NA	0	NA
29-1066.00	Psychiatrist	Healthcare	86.05	NA	78.2	24.83	256930	NA	0	NA
29-1069.00	Other - Physician and/or Surgeon	Healthcare	86.05	NA	88.91	31.96	353960	NA	0	NA
29-1069.10	Radiologist	Healthcare	86.05	NA	69.08	31.96	353960	NA	0	NA
29-1069.03	Hospitalist	Healthcare	64.38	NA	62.18	310.08	248640	236000	0	236
29-1069.01	Allergist and/or Immunologist	Healthcare	86.05	NA	73.88	310.08	248640	236000	0	236
29-1069.00	Other - Physician and/or Surgeon	Healthcare	86.05	NA	88.91	310.08	248640	236000	0	236
29-1069.08	Physical Medicine and Rehabilitation Physician	Healthcare	86.05	NA	76.14	310.08	248640	236000	0	236
29-1069.11	Sports Medicine Physician	Healthcare	86.05	NA	70.67	310.08	248640	236000	0	236
29-1069.09	Preventive Medicine Physician	Healthcare	86.05	NA	78.77	310.08	248640	236000	0	236
29-1069.05	Nuclear Medicine Physician	Healthcare	86.05	NA	82.71	310.08	248640	236000	0	236
29-1069.12	Urologist	Healthcare	86.05	NA	75.51	310.08	248640	236000	0	236
29-1069.06	Ophthalmologist	Healthcare	67.16	NA	78.13	11.53	312120	NA	0	NA
29-1069.00	Other - Physician and/or Surgeon	Healthcare	86.05	NA	88.91	11.53	312120	NA	0	NA
29-1067.00	Surgeon	Healthcare	86.05	NA	88.15	14.82	378250	NA	0	NA
29-1067.00	Surgeon	Healthcare	86.05	NA	88.15	1.18	449320	NA	0	NA
29-1067.00	Surgeon	Healthcare	86.05	NA	88.15	26.37	343990	NA	0	NA
29-1199.01	Acupuncturist	Healthcare	50.44	NA	70.8	9.37	84260	78220	0	78.22
29-1199.00	Other - Health Diagnosing and Treating Practitioner	Healthcare	50.44	4.5	69.97	9.37	84260	78220	0	78.22
29-2021.00	Dental Hygienist	Healthcare	52.23	5.3	54.74	211.63	89890	87530	0	87.53
29-1199.04	Naturopathic Physician	Healthcare	86.05	NA	72.11	31.1	123840	107990	0	107.99
29-1199.00	Other - Health Diagnosing and Treating Practitioner	Healthcare	50.44	NA	69.97	31.1	123840	107990	0	107.99
29-1199.05	Orthoptist	Healthcare	67.16	NA	73.42	31.1	123840	107990	0	107.99
29-2031.00	Cardiovascular Technologist and/or Technician	Healthcare	56.67	NA	72.1	55.66	70270	66170	0	66.17
29-2032.00	Diagnostic Medical Sonographer	Healthcare	50.44	5.7	63.6	82.78	89020	84470	0	84.47
29-2033.00	Nuclear Medicine Technologist	Healthcare	64.38	NA	77.85	16.56	95080	92500	0	92.5
29-2034.00	Radiologic Technologist and/or Technician	Healthcare	58.48	NA	63.16	221.17	75250	73410	0	73.41
