"Dataset.Name","Cases","Variables","Categorical.Variables","Quantitative.Variables","Topics","Data.Link","Documentation.Link"
"COLall_2025",331,4,1,3,"comparing groups; boxplots","[Link to COLall_2025 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/COLall_2025/COLall_2025.txt)","[Link to COLall_2025 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/COLall_2025/readme.md)"
"Commute_times",5000,1,0,1,"histogram; one-sample t-interval","[Link to Commute_times data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Commute_times/Commute_times.txt)","[Link to Commute_times documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Commute_times/readme.md)"
"Companies",79,9,2,7,"reexpression; multiple regression; indicator variables","[Link to Companies data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Companies/Companies.txt)","[Link to Companies documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Companies/readme.md)"
"Cost_of_living_2025",327,8,1,7,"histogram; regression","[Link to Cost_of_living_2025 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Cost_of_living_2025/Cost_of_living_2025.txt)","[Link to Cost_of_living_2025 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Cost_of_living_2025/readme.md)"
"Cost_of_living_cities_2025",331,4,1,3,"comparing groups; box plots","[Link to Cost_of_living_cities_2025 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Cost_of_living_cities_2025/Cost_of_living_cities_2025.txt)","[Link to Cost_of_living_cities_2025 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Cost_of_living_cities_2025/readme.md)"
"Cost_of_living_countries_2025",96,4,1,3,"","[Link to Cost_of_living_countries_2025 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Cost_of_living_countries_2025/Cost_of_living_countries_2025.txt)","[Link to Cost_of_living_countries_2025 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Cost_of_living_countries_2025/readme.md)"
"Counting_birds",20,1,0,1,"histogram; stem-and-leaf plot","[Link to Counting_birds data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Counting_birds/Counting_birds.txt)","[Link to Counting_birds documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Counting_birds/readme.md)"
"COVID_blood_type_and_age",4,6,1,5,"contingency table; bar plot; mosaic plot","[Link to COVID_blood_type_and_age data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/COVID_blood_type_and_age/COVID_blood_type_and_age.txt)","[Link to COVID_blood_type_and_age documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/COVID_blood_type_and_age/readme.md)"
"Credit_card_charges",500,1,0,1,"","[Link to Credit_card_charges data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Credit_card_charges/Credit_card_charges.txt)","[Link to Credit_card_charges documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Credit_card_charges/readme.md)"
"Cups",32,2,1,1,"","[Link to Cups data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Cups/Cups.txt)","[Link to Cups documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Cups/readme.md)"
"Drivers_licenses_2023",16,4,1,3,"","[Link to Drivers_licenses_2023 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Drivers_licenses_2023/Drivers_licenses_2023.txt)","[Link to Drivers_licenses_2023 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Drivers_licenses_2023/readme.md)"
"Emails",155,1,0,1,"","[Link to Emails data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Emails/Emails.txt)","[Link to Emails documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Emails/readme.md)"
"Fish_diet",6272,2,2,0,"contingency table; barplots; mosaic plot","[Link to Fish_diet data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Fish_diet/Fish_diet.txt)","[Link to Fish_diet documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Fish_diet/readme.md)"
"Fitbit_sleep_scores",113,8,1,7,"","[Link to Fitbit_sleep_scores data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Fitbit_sleep_scores/Fitbit_sleep_scores.txt)","[Link to Fitbit_sleep_scores documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Fitbit_sleep_scores/readme.md)"
"Flights_on_time_2025",381,11,2,9,"","[Link to Flights_on_time_2025 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Flights_on_time_2025/Flights_on_time_2025.txt)","[Link to Flights_on_time_2025 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Flights_on_time_2025/readme.md)"
"Floods_2024",30,2,0,2,"","[Link to Floods_2024 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Floods_2024/Floods_2024.txt)","[Link to Floods_2024 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Floods_2024/readme.md)"
"Framingham",1406,6,1,5,"","[Link to Framingham data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Framingham/Framingham.txt)","[Link to Framingham documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Framingham/readme.md)"
"Fuel_economy_and_cylinders",38,2,0,2,"","[Link to Fuel_economy_and_cylinders data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Fuel_economy_and_cylinders/Fuel_economy_and_cylinders.txt)","[Link to Fuel_economy_and_cylinders documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Fuel_economy_and_cylinders/readme.md)"
"Gas_prices_2024",381,5,2,3,"","[Link to Gas_prices_2024 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Gas_prices_2024/Gas_prices_2024.txt)","[Link to Gas_prices_2024 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Gas_prices_2024/readme.md)"
"Heart_attack_stays",5065,2,0,2,"","[Link to Heart_attack_stays data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Heart_attack_stays/Heart_attack_stays.txt)","[Link to Heart_attack_stays documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Heart_attack_stays/readme.md)"
"Hopkins_Forest",365,29,1,28,"","[Link to Hopkins_Forest data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Hopkins_Forest/Hopkins_Forest.txt)","[Link to Hopkins_Forest documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Hopkins_Forest/readme.md)"
