"Dataset.Name","Cases","Variables","Categorical.Variables","Quantitative.Variables","Topics","Data.Link","Documentation.Link"
"Vineyards",36,18,2,16,"","[Link to Vineyards data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Vineyards/Vineyards.txt)","[Link to Vineyards documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Vineyards/readme.md)"
"Winter_Olympics_2022_Mens_Alpine_Combined",17,4,2,2,"","[Link to Winter_Olympics_2022_Mens_Alpine_Combined data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Winter_Olympics_2022_Mens_Alpine_Combined/Winter_Olympics_2022_Mens_Alpine_Combined.txt)","[Link to Winter_Olympics_2022_Mens_Alpine_Combined documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Winter_Olympics_2022_Mens_Alpine_Combined/readme.md)"
"Winter_Olympics_2022_slalom",45,9,4,5,"","[Link to Winter_Olympics_2022_slalom data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Winter_Olympics_2022_slalom/Winter_Olympics_2022_slalom.txt)","[Link to Winter_Olympics_2022_slalom documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Winter_Olympics_2022_slalom/readme.md)"
"Wisconsin_ACT_2023",521,5,3,2,"","[Link to Wisconsin_ACT_2023 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Wisconsin_ACT_2023/Wisconsin_ACT_2023.txt)","[Link to Wisconsin_ACT_2023 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Wisconsin_ACT_2023/readme.md)"
"Womens_Heptathlon_2024",21,12,1,11,"standardization","[Link to Womens_Heptathlon_2024 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Womens_Heptathlon_2024/Womens_Heptathlon_2024.txt)","[Link to Womens_Heptathlon_2024 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Womens_Heptathlon_2024/readme.md)"
"World_happiness_2024",138,10,1,9,"","[Link to World_happiness_2024 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/World_happiness_2024/World_happiness_2024.txt)","[Link to World_happiness_2024 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/World_happiness_2024/readme.md)"
"Antidepressants",19,3,1,2,NA,"[Link to Antidepressants data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Antidepressants/Antidepressants.txt)","[Link to Antidepressants documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Antidepressants/readme.md)"
"Birthrates_2025",13,3,0,3,NA,"[Link to Birthrates_2025 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Birthrates_2025/Birthrates_2025.txt)","[Link to Birthrates_2025 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Birthrates_2025/readme.md)"
"Bookstore_sales",10,2,0,2,NA,"[Link to Bookstore_sales data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Bookstore_sales/Bookstore_sales.txt)","[Link to Bookstore_sales documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Bookstore_sales/readme.md)"
"Burgers",7,3,0,3,NA,"[Link to Burgers data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Burgers/Burgers.txt)","[Link to Burgers documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Burgers/readme.md)"
"Cigarettes",816,4,1,3,NA,"[Link to Cigarettes data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Cigarettes/Cigarettes.txt)","[Link to Cigarettes documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Cigarettes/readme.md)"
"Cyclists_2022",23,2,0,2,NA,"[Link to Cyclists_2022 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Cyclists_2022/Cyclists_2022.txt)","[Link to Cyclists_2022 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Cyclists_2022/readme.md)"
"Disk_drives_2025",11,2,0,2,NA,"[Link to Disk_drives_2025 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Disk_drives_2025/Disk_drives_2025.txt)","[Link to Disk_drives_2025 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Disk_drives_2025/readme.md)"
"Doctors_and_life_expectancy",40,8,1,7,NA,"[Link to Doctors_and_life_expectancy data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Doctors_and_life_expectancy/Doctors_and_life_expectancy.txt)","[Link to Doctors_and_life_expectancy documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Doctors_and_life_expectancy/readme.md)"
"Drug_use_2024",37,12,1,11,NA,"[Link to Drug_use_2024 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Drug_use_2024/Drug_use_2024.txt)","[Link to Drug_use_2024 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Drug_use_2024/readme.md)"
"Election_2020_2024",3155,43,3,38,NA,"[Link to Election_2020_2024 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Election_2020_2024/Election_2020_2024.txt)","[Link to Election_2020_2024 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Election_2020_2024/readme.md)"
"Fuel_economy_2026",1071,16,6,10,NA,"[Link to Fuel_economy_2026 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Fuel_economy_2026/Fuel_economy_2026.txt)","[Link to Fuel_economy_2026 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Fuel_economy_2026/readme.md)"
"Income_and_housing",51,3,1,2,NA,"[Link to Income_and_housing data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Income_and_housing/Income_and_housing.txt)","[Link to Income_and_housing documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Income_and_housing/readme.md)"
"IQ_Brain",41,2,0,2,NA,"[Link to IQ_Brain data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/IQ_Brain/IQ_Brain.txt)","[Link to IQ_Brain documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/IQ_Brain/readme.md)"
"New_York_bridges_2020",17534,12,9,3,NA,"[Link to New_York_bridges_2020 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/New_York_bridges_2020/New_York_bridges_2020.txt)","[Link to New_York_bridges_2020 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/New_York_bridges_2020/readme.md)"
"SAT_scores",162,3,1,2,NA,"[Link to SAT_scores data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/SAT_scores/SAT_scores.txt)","[Link to SAT_scores documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/SAT_scores/readme.md)"
"Used_convertables_2020",26,4,1,3,NA,"[Link to Used_convertables_2020 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Used_convertables_2020/Used_convertables_2020.txt)","[Link to Used_convertables_2020 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Used_convertables_2020/readme.md)"
"Wildfires_2024",40,5,0,5,NA,"[Link to Wildfires_2024 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Wildfires_2024/Wildfires_2024.txt)","[Link to Wildfires_2024 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Wildfires_2024/readme.md)"
