SCHOOL	DISTRICT	CHARTER	ACT.COMPOSITE	TEST.TAKERS
Freedom High	Freedom Area	No	19.2	109
Galesville-Ettrick-Trempealeau High	Galesville-Ettrick-Trempealeau	No	18.61	87
Germantown High	Germantown	No	21.78	325
Gibraltar High	Gibraltar Area	No	23.14	36
Gillett High	Gillett	No	18.9	41
eSucceed Charter School	Gilman	Yes	20.83	7
Gilman High	Gilman	No	18.35	18
Gilmanton High	Gilmanton	No	19.33	12
Glenwood City High	Glenwood City	No	20.33	46
Grafton High	Grafton	No	22.33	161
Granton High	Granton Area	No	20.13	18
Grantsburg High	Grantsburg	No	18.21	48
iForward	Grantsburg	Yes	18.02	185
East High	Green Bay Area Public	No	15.84	254
John Dewey Academy of Learning	Green Bay Area Public	Yes	17.25	17
Northeast Wisconsin School of Innovation	Green Bay Area Public	Yes	14.2	25
Preble High	Green Bay Area Public	No	17.56	496
Southwest High	Green Bay Area Public	No	17.91	262
West High	Green Bay Area Public	No	16.28	173
Green Lake High	Green Lake	No	19.42	26
Greendale High	Greendale	No	20.82	230
Greenfield High	Greenfield	No	18.14	263
Greenwood High	Greenwood	No	17.63	19
Gresham High	Gresham	No	17.33	15
Hamilton High	Hamilton	No	22.18	358
Hartford High	Hartford UHS	No	19.7	327
Hayward Ctr for Individualized Learning	Hayward Community	Yes	18.89	22
Hayward High	Hayward Community	No	20.22	112
Highland Community High	Highland	No	17.26	19
Hilbert High	Hilbert	No	19.45	23
Hillsboro High	Hillsboro	No	18.47	38
Holmen High	Holmen	No	20.19	290
Horicon High School	Horicon	No	19.65	67
Hortonville High	Hortonville Area	No	20.7	323
Bay Port High	Howard-Suamico	No	20.9	451
Howards Grove High	Howards Grove	No	18.22	58
Hudson High	Hudson	No	21.43	421
Hurley High	Hurley	No	18.88	56
Hustisford High	Hustisford	No	19.48	21
Independence High	Independence	No	17.25	34
Iola-Scandinavia High	Iola-Scandinavia	No	18.48	42
Iowa-Grant High	Iowa-Grant	No	18.73	42
Ithaca High	Ithaca	No	17.03	34
ARISE Virtual Academy	Janesville	Yes	17.76	17
Craig High	Janesville	No	18.84	370
Parker High	Janesville	No	17.31	249
Rock River Charter School	Janesville	Yes	14.67	69
Rock University High	Janesville	Yes	20.15	20
Jefferson High	Jefferson	No	17.68	147
Johnson Creek Public School	Johnson Creek	No	18.98	41
Juda High	Juda	No	16.24	21
Kaukauna High	Kaukauna Area	No	20.18	310
Bradford High	Kenosha	No	16.92	302
Harborside Academy	Kenosha	Yes	19.39	99
Indian Trail High School and Academy	Kenosha	No	18.85	454
Kenosha eSchool K-12	Kenosha	Yes	16.75	13
Lakeview Technology Academy	Kenosha	No	22.98	98
Reuther Central High	Kenosha	No	14.46	113
Tremper High	Kenosha	No	17.41	320
High School of Health Sciences	Kettle Moraine	Yes	26.05	60
Kettle Moraine Global School for Global Leadership and Innovation	Kettle Moraine	Yes	22.44	18
Kettle Moraine High	Kettle Moraine	No	20.81	230
School for Arts and Performance	Kettle Moraine	Yes	24.43	14
Kewaskum High	Kewaskum	No	21.39	135
Kewaunee High	Kewaunee	No	18.62	78
Kickapoo High	Kickapoo Area	No	18	37
Kiel eSchool	Kiel Area	Yes	17.67	7
Kiel High	Kiel Area	No	19.98	93
Kimberly High	Kimberly Area	No	21.26	378
Kohler High	Kohler	No	23.58	40
Central High	La Crosse	No	19.98	234
Coulee Region Virtual Academy	La Crosse	Yes	16.25	7
La Crosse Polytechnic School	La Crosse	Yes	20.42	12
Logan High	La Crosse	No	19.46	179
La Farge High	La Farge	No	18.05	21
Ladysmith High	Ladysmith	No	17.84	53
Badger High	Lake Geneva-Genoa City UHS	No	20.32	327
Holcombe High	Lake Holcombe	No	16.75	24
Lake Mills High	Lake Mills Area	No	19.82	121
Lakeland High	Lakeland UHS	No	18.64	160
Lancaster High	Lancaster Community	No	20.76	67
Laona High	Laona	No	19.13	16
Lena High	Lena	No	16.4	25
Little Chute Career Pathways Academy	Little Chute Area	Yes	24.15	21
Little Chute High	Little Chute Area	No	20	81
Lodi High	Lodi	No	20.43	103
Lomira High	Lomira	No	20.55	71
Loyal High	Loyal	No	16.7	37
Luck High	Luck	No	18.26	36
Luxemburg-Casco High	Luxemburg-Casco	No	19.64	150
Capital High	Madison Metropolitan	No	12.88	38
East High	Madison Metropolitan	No	18.66	369
Innovative & Alternative High	Madison Metropolitan	No	14	9
LaFollette High	Madison Metropolitan	No	17.12	300
Memorial High	Madison Metropolitan	No	19.96	474
Shabazz-City High	Madison Metropolitan	No	16.61	36
West High	Madison Metropolitan	No	22.89	472
Little Wolf High	Manawa	No	18.8	57
Lincoln High	Manitowoc	No	17.73	329
McKinley Academy	Manitowoc	Yes	13.93	16
Northwestern High	Maple	No	19.26	99
Marathon High	Marathon City	No	20.97	69
Marinette High	Marinette	No	17.42	129
Marion High	Marion	No	19.46	24
Markesan High	Markesan	No	17.77	57
